artist_name;song_title;token
Frank Sinatra;Sunrise In The Morning;moonbeams
Frank Sinatra;Sunrise In The Morning;clearly
Frank Sinatra;Sunrise In The Morning;moonbeams
Frank Sinatra;Sunrise In The Morning;dancing
Frank Sinatra;Sunrise In The Morning;in
Frank Sinatra;Sunrise In The Morning;your
Frank Sinatra;Sunrise In The Morning;eyes
Frank Sinatra;Sunrise In The Morning;and
Frank Sinatra;Sunrise In The Morning;it
Frank Sinatra;Sunrise In The Morning;was
Frank Sinatra;Sunrise In The Morning;right
Frank Sinatra;Sunrise In The Morning;i
Frank Sinatra;Sunrise In The Morning;know
Frank Sinatra;Sunrise In The Morning;i
Frank Sinatra;Sunrise In The Morning;loved
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;dearly
Frank Sinatra;Sunrise In The Morning;i
Frank Sinatra;Sunrise In The Morning;saw
Frank Sinatra;Sunrise In The Morning;your
Frank Sinatra;Sunrise In The Morning;face
Frank Sinatra;Sunrise In The Morning;i
Frank Sinatra;Sunrise In The Morning;hear
Frank Sinatra;Sunrise In The Morning;music
Frank Sinatra;Sunrise In The Morning;i've
Frank Sinatra;Sunrise In The Morning;no
Frank Sinatra;Sunrise In The Morning;care
Frank Sinatra;Sunrise In The Morning;sunset
Frank Sinatra;Sunrise In The Morning;in
Frank Sinatra;Sunrise In The Morning;the
Frank Sinatra;Sunrise In The Morning;evening
Frank Sinatra;Sunrise In The Morning;stay
Frank Sinatra;Sunrise In The Morning;awhile
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;know
Frank Sinatra;Sunrise In The Morning;that
Frank Sinatra;Sunrise In The Morning;i'll
Frank Sinatra;Sunrise In The Morning;be
Frank Sinatra;Sunrise In The Morning;thinking
Frank Sinatra;Sunrise In The Morning;of
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;now
Frank Sinatra;Sunrise In The Morning;and
Frank Sinatra;Sunrise In The Morning;everyday
Frank Sinatra;Sunrise In The Morning;make
Frank Sinatra;Sunrise In The Morning;it
Frank Sinatra;Sunrise In The Morning;worth
Frank Sinatra;Sunrise In The Morning;my
Frank Sinatra;Sunrise In The Morning;while
Frank Sinatra;Sunrise In The Morning;i'll
Frank Sinatra;Sunrise In The Morning;see
Frank Sinatra;Sunrise In The Morning;that
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;will
Frank Sinatra;Sunrise In The Morning;always
Frank Sinatra;Sunrise In The Morning;smile
Frank Sinatra;Sunrise In The Morning;and
Frank Sinatra;Sunrise In The Morning;never
Frank Sinatra;Sunrise In The Morning;stray
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;stay
Frank Sinatra;Sunrise In The Morning;baby
Frank Sinatra;Sunrise In The Morning;i'll
Frank Sinatra;Sunrise In The Morning;pray
Frank Sinatra;Sunrise In The Morning;stay
Frank Sinatra;Sunrise In The Morning;awhile
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;know
Frank Sinatra;Sunrise In The Morning;that
Frank Sinatra;Sunrise In The Morning;i'll
Frank Sinatra;Sunrise In The Morning;be
Frank Sinatra;Sunrise In The Morning;thinking
Frank Sinatra;Sunrise In The Morning;of
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;now
Frank Sinatra;Sunrise In The Morning;and
Frank Sinatra;Sunrise In The Morning;everyday
Frank Sinatra;Sunrise In The Morning;make
Frank Sinatra;Sunrise In The Morning;it
Frank Sinatra;Sunrise In The Morning;worth
Frank Sinatra;Sunrise In The Morning;my
Frank Sinatra;Sunrise In The Morning;while
Frank Sinatra;Sunrise In The Morning;i'll
Frank Sinatra;Sunrise In The Morning;see
Frank Sinatra;Sunrise In The Morning;that
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;will
Frank Sinatra;Sunrise In The Morning;always
Frank Sinatra;Sunrise In The Morning;smile
Frank Sinatra;Sunrise In The Morning;and
Frank Sinatra;Sunrise In The Morning;never
Frank Sinatra;Sunrise In The Morning;stray
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;stay
Frank Sinatra;Sunrise In The Morning;baby
Frank Sinatra;Sunrise In The Morning;i'll
Frank Sinatra;Sunrise In The Morning;pray
Frank Sinatra;Sunrise In The Morning;please
Frank Sinatra;Sunrise In The Morning;stay
Frank Sinatra;Sunrise In The Morning;baby
Frank Sinatra;Sunrise In The Morning;i'll
Frank Sinatra;Sunrise In The Morning;pray
Frank Sinatra;Sunrise In The Morning;oh
Frank Sinatra;Sunrise In The Morning;you
Frank Sinatra;Sunrise In The Morning;stay
Frank Sinatra;Sunrise In The Morning;baby
Frank Sinatra;Sunrise In The Morning;i'll
Frank Sinatra;Sunrise In The Morning;pray
Frank Sinatra;Sunrise In The Morning;please
Frank Sinatra;Sunrise In The Morning;stay
Frank Sinatra;Sunrise In The Morning;baby
Frank Sinatra;Sunrise In The Morning;i'll
Frank Sinatra;Sunrise In The Morning;pray
