artist_name;song_title;token
Aretha Franklin;I Can't Turn You Loose;shaking
Aretha Franklin;I Can't Turn You Loose;mama,
Aretha Franklin;I Can't Turn You Loose;i
Aretha Franklin;I Can't Turn You Loose;love
Aretha Franklin;I Can't Turn You Loose;ya
Aretha Franklin;I Can't Turn You Loose;i'm
Aretha Franklin;I Can't Turn You Loose;in
Aretha Franklin;I Can't Turn You Loose;love
Aretha Franklin;I Can't Turn You Loose;with
Aretha Franklin;I Can't Turn You Loose;only
Aretha Franklin;I Can't Turn You Loose;you
Aretha Franklin;I Can't Turn You Loose;honest
Aretha Franklin;I Can't Turn You Loose;baby,
Aretha Franklin;I Can't Turn You Loose;do
Aretha Franklin;I Can't Turn You Loose;it
Aretha Franklin;I Can't Turn You Loose;baby
Aretha Franklin;I Can't Turn You Loose;why
Aretha Franklin;I Can't Turn You Loose;don't
Aretha Franklin;I Can't Turn You Loose;ya
Aretha Franklin;I Can't Turn You Loose;and
Aretha Franklin;I Can't Turn You Loose;i'm
Aretha Franklin;I Can't Turn You Loose;gonna
Aretha Franklin;I Can't Turn You Loose;give
Aretha Franklin;I Can't Turn You Loose;ya
Aretha Franklin;I Can't Turn You Loose;everything
Aretha Franklin;I Can't Turn You Loose;you
Aretha Franklin;I Can't Turn You Loose;want
Aretha Franklin;I Can't Turn You Loose;gotta
Aretha Franklin;I Can't Turn You Loose;gotta
Aretha Franklin;I Can't Turn You Loose;ha
Aretha Franklin;I Can't Turn You Loose;keep,
Aretha Franklin;I Can't Turn You Loose;keep
Aretha Franklin;I Can't Turn You Loose;on
Aretha Franklin;I Can't Turn You Loose;holding
Aretha Franklin;I Can't Turn You Loose;on
Aretha Franklin;I Can't Turn You Loose;ha
Aretha Franklin;I Can't Turn You Loose;never
Aretha Franklin;I Can't Turn You Loose;gonna
Aretha Franklin;I Can't Turn You Loose;turn
Aretha Franklin;I Can't Turn You Loose;you
Aretha Franklin;I Can't Turn You Loose;loose
Aretha Franklin;I Can't Turn You Loose;now
Aretha Franklin;I Can't Turn You Loose;never
Aretha Franklin;I Can't Turn You Loose;gonna
Aretha Franklin;I Can't Turn You Loose;lose
Aretha Franklin;I Can't Turn You Loose;you
Aretha Franklin;I Can't Turn You Loose;babe
Aretha Franklin;I Can't Turn You Loose;i
Aretha Franklin;I Can't Turn You Loose;can't
Aretha Franklin;I Can't Turn You Loose;turn
Aretha Franklin;I Can't Turn You Loose;you
Aretha Franklin;I Can't Turn You Loose;loose
Aretha Franklin;I Can't Turn You Loose;never,
Aretha Franklin;I Can't Turn You Loose;i'm
Aretha Franklin;I Can't Turn You Loose;never
Aretha Franklin;I Can't Turn You Loose;gonna
Aretha Franklin;I Can't Turn You Loose;turn
Aretha Franklin;I Can't Turn You Loose;to
Aretha Franklin;I Can't Turn You Loose;you
Aretha Franklin;I Can't Turn You Loose;loose
Aretha Franklin;I Can't Turn You Loose;i'm
Aretha Franklin;I Can't Turn You Loose;gonna
Aretha Franklin;I Can't Turn You Loose;keep
Aretha Franklin;I Can't Turn You Loose;holding
Aretha Franklin;I Can't Turn You Loose;on,
Aretha Franklin;I Can't Turn You Loose;turn
Aretha Franklin;I Can't Turn You Loose;you
Aretha Franklin;I Can't Turn You Loose;loose
Aretha Franklin;I Can't Turn You Loose;gonna
Aretha Franklin;I Can't Turn You Loose;keep
Aretha Franklin;I Can't Turn You Loose;a
Aretha Franklin;I Can't Turn You Loose;grip
Aretha Franklin;I Can't Turn You Loose;on
Aretha Franklin;I Can't Turn You Loose;ya
Aretha Franklin;I Can't Turn You Loose;i
Aretha Franklin;I Can't Turn You Loose;can't
Aretha Franklin;I Can't Turn You Loose;turn
Aretha Franklin;I Can't Turn You Loose;you
Aretha Franklin;I Can't Turn You Loose;loose
Aretha Franklin;I Can't Turn You Loose;gotta
Aretha Franklin;I Can't Turn You Loose;gotta
Aretha Franklin;I Can't Turn You Loose;keep
Aretha Franklin;I Can't Turn You Loose;on
Aretha Franklin;I Can't Turn You Loose;holding
Aretha Franklin;I Can't Turn You Loose;on
Aretha Franklin;I Can't Turn You Loose;early
Aretha Franklin;I Can't Turn You Loose;in
Aretha Franklin;I Can't Turn You Loose;the
Aretha Franklin;I Can't Turn You Loose;morning
Aretha Franklin;I Can't Turn You Loose;and
