artist_name;song_title;token
Justin Bieber;Yummy;yummy-yum
Justin Bieber;Yummy;that
Justin Bieber;Yummy;yummy-yum
Justin Bieber;Yummy;that
Justin Bieber;Yummy;yummy-yummy
Justin Bieber;Yummy;say
Justin Bieber;Yummy;the
Justin Bieber;Yummy;word
Justin Bieber;Yummy;on
Justin Bieber;Yummy;my
Justin Bieber;Yummy;way
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;any
Justin Bieber;Yummy;night
Justin Bieber;Yummy;any
Justin Bieber;Yummy;day
Justin Bieber;Yummy;say
Justin Bieber;Yummy;the
Justin Bieber;Yummy;word
Justin Bieber;Yummy;on
Justin Bieber;Yummy;my
Justin Bieber;Yummy;way
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;in
Justin Bieber;Yummy;the
Justin Bieber;Yummy;mornin'
Justin Bieber;Yummy;or
Justin Bieber;Yummy;the
Justin Bieber;Yummy;late
Justin Bieber;Yummy;say
Justin Bieber;Yummy;the
Justin Bieber;Yummy;word
Justin Bieber;Yummy;on
Justin Bieber;Yummy;my
Justin Bieber;Yummy;way
Justin Bieber;Yummy;standin'
Justin Bieber;Yummy;up
Justin Bieber;Yummy;keep
Justin Bieber;Yummy;me
Justin Bieber;Yummy;on
Justin Bieber;Yummy;the
Justin Bieber;Yummy;rise
Justin Bieber;Yummy;lost
Justin Bieber;Yummy;control
Justin Bieber;Yummy;of
Justin Bieber;Yummy;myself
Justin Bieber;Yummy;i'm
Justin Bieber;Yummy;compromised
Justin Bieber;Yummy;you're
Justin Bieber;Yummy;incriminating
Justin Bieber;Yummy;no
Justin Bieber;Yummy;disguise
Justin Bieber;Yummy;and
Justin Bieber;Yummy;you
Justin Bieber;Yummy;ain't
Justin Bieber;Yummy;never
Justin Bieber;Yummy;runnin'
Justin Bieber;Yummy;low
Justin Bieber;Yummy;on
Justin Bieber;Yummy;supplies
Justin Bieber;Yummy;fifty-fifty
Justin Bieber;Yummy;love
Justin Bieber;Yummy;the
Justin Bieber;Yummy;way
Justin Bieber;Yummy;you
Justin Bieber;Yummy;split
Justin Bieber;Yummy;it
Justin Bieber;Yummy;hundred
Justin Bieber;Yummy;racks
Justin Bieber;Yummy;help
Justin Bieber;Yummy;me
Justin Bieber;Yummy;spend
Justin Bieber;Yummy;it
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;light
Justin Bieber;Yummy;a
Justin Bieber;Yummy;match
Justin Bieber;Yummy;get
Justin Bieber;Yummy;litty
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;that
Justin Bieber;Yummy;jet
Justin Bieber;Yummy;set
Justin Bieber;Yummy;watch
Justin Bieber;Yummy;the
Justin Bieber;Yummy;sunset
Justin Bieber;Yummy;kinda
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;rollin'
Justin Bieber;Yummy;eyes
Justin Bieber;Yummy;back
Justin Bieber;Yummy;in
Justin Bieber;Yummy;my
Justin Bieber;Yummy;head
Justin Bieber;Yummy;make
Justin Bieber;Yummy;my
Justin Bieber;Yummy;toes
Justin Bieber;Yummy;curl
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;you
Justin Bieber;Yummy;got
Justin Bieber;Yummy;that
Justin Bieber;Yummy;yummy-yum
Justin Bieber;Yummy;that
Justin Bieber;Yummy;yummy-yum
Justin Bieber;Yummy;that
Justin Bieber;Yummy;yummy-yummy
Justin Bieber;Yummy;you
Justin Bieber;Yummy;stay
Justin Bieber;Yummy;flexin'
Justin Bieber;Yummy;on
Justin Bieber;Yummy;me
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;you
Justin Bieber;Yummy;got
Justin Bieber;Yummy;that
Justin Bieber;Yummy;yummy-yum
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;that
Justin Bieber;Yummy;yummy-yum
Justin Bieber;Yummy;that
Justin Bieber;Yummy;yummy-yummy
Justin Bieber;Yummy;say
Justin Bieber;Yummy;the
Justin Bieber;Yummy;word
Justin Bieber;Yummy;on
Justin Bieber;Yummy;my
Justin Bieber;Yummy;way
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;any
Justin Bieber;Yummy;night
Justin Bieber;Yummy;any
Justin Bieber;Yummy;day
Justin Bieber;Yummy;say
Justin Bieber;Yummy;the
Justin Bieber;Yummy;word
Justin Bieber;Yummy;on
Justin Bieber;Yummy;my
Justin Bieber;Yummy;way
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;yeah
Justin Bieber;Yummy;babe
Justin Bieber;Yummy;in
Justin Bieber;Yummy;the
Justin Bieber;Yummy;mornin'
Justin Bieber;Yummy;or
Justin Bieber;Yummy;the
Justin Bieber;Yummy;late
Justin Bieber;Yummy;say
Justin Bieber;Yummy;the
Justin Bieber;Yummy;word
