artist_name;song_title;token
David Guetta;Stay;something
David Guetta;Stay;'bout
David Guetta;Stay;this
David Guetta;Stay;chemistry
David Guetta;Stay;so
David Guetta;Stay;go
David Guetta;Stay;on
David Guetta;Stay;take
David Guetta;Stay;the
David Guetta;Stay;rest
David Guetta;Stay;of
David Guetta;Stay;me
David Guetta;Stay;alright
David Guetta;Stay;and
David Guetta;Stay;i
David Guetta;Stay;don't
David Guetta;Stay;mind
David Guetta;Stay;stay
David Guetta;Stay;and
David Guetta;Stay;i
David Guetta;Stay;want
David Guetta;Stay;this
David Guetta;Stay;tell
David Guetta;Stay;me
David Guetta;Stay;if
David Guetta;Stay;you
David Guetta;Stay;want
David Guetta;Stay;this
David Guetta;Stay;baby
David Guetta;Stay;do
David Guetta;Stay;you
David Guetta;Stay;want
David Guetta;Stay;this
David Guetta;Stay;uh-huh
David Guetta;Stay;baby
David Guetta;Stay;when
David Guetta;Stay;you
David Guetta;Stay;got
David Guetta;Stay;this
David Guetta;Stay;love
David Guetta;Stay;me
David Guetta;Stay;in
David Guetta;Stay;a
David Guetta;Stay;tank
David Guetta;Stay;top
David Guetta;Stay;i
David Guetta;Stay;can
David Guetta;Stay;make
David Guetta;Stay;it
David Guetta;Stay;topless
David Guetta;Stay;uh-huh
David Guetta;Stay;and
David Guetta;Stay;you
David Guetta;Stay;wanna
David Guetta;Stay;try
David Guetta;Stay;me
David Guetta;Stay;baby
David Guetta;Stay;will
David Guetta;Stay;you
David Guetta;Stay;try
David Guetta;Stay;me
David Guetta;Stay;if
David Guetta;Stay;you
David Guetta;Stay;wanna
David Guetta;Stay;cop
David Guetta;Stay;this
David Guetta;Stay;uh-huh
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;stay
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;i
David Guetta;Stay;need
David Guetta;Stay;you
David Guetta;Stay;babe
David Guetta;Stay;stay
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;i
David Guetta;Stay;love
David Guetta;Stay;the
David Guetta;Stay;taste
David Guetta;Stay;so
David Guetta;Stay;stay
David Guetta;Stay;the
David Guetta;Stay;same
David Guetta;Stay;uh
David Guetta;Stay;babe
David Guetta;Stay;i
David Guetta;Stay;save
David Guetta;Stay;a
David Guetta;Stay;place
David Guetta;Stay;for
David Guetta;Stay;you
David Guetta;Stay;i
David Guetta;Stay;got
David Guetta;Stay;a
David Guetta;Stay;place
David Guetta;Stay;for
David Guetta;Stay;two
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;i
David Guetta;Stay;need
David Guetta;Stay;you
David Guetta;Stay;to
David Guetta;Stay;stay
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;babe
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;stay
David Guetta;Stay;babe
David Guetta;Stay;i
David Guetta;Stay;save
David Guetta;Stay;a
David Guetta;Stay;place
David Guetta;Stay;for
David Guetta;Stay;you
David Guetta;Stay;i
David Guetta;Stay;got
David Guetta;Stay;a
David Guetta;Stay;place
David Guetta;Stay;for
David Guetta;Stay;two
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;i
David Guetta;Stay;need
David Guetta;Stay;you
David Guetta;Stay;to
David Guetta;Stay;stay
David Guetta;Stay;there
David Guetta;Stay;something
David Guetta;Stay;about
David Guetta;Stay;you
David Guetta;Stay;baby
David Guetta;Stay;the
David Guetta;Stay;way
David Guetta;Stay;you
David Guetta;Stay;look
David Guetta;Stay;me
David Guetta;Stay;in
David Guetta;Stay;my
David Guetta;Stay;eyes
David Guetta;Stay;it
David Guetta;Stay;would
David Guetta;Stay;kill
David Guetta;Stay;me
David Guetta;Stay;to
David Guetta;Stay;watch
David Guetta;Stay;you
David Guetta;Stay;walk
David Guetta;Stay;away
David Guetta;Stay;so
David Guetta;Stay;stay
David Guetta;Stay;by
David Guetta;Stay;my
David Guetta;Stay;side
David Guetta;Stay;ah
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;stay
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;i
David Guetta;Stay;need
David Guetta;Stay;you
David Guetta;Stay;babe
David Guetta;Stay;stay
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;i
David Guetta;Stay;love
David Guetta;Stay;the
David Guetta;Stay;taste
David Guetta;Stay;so
David Guetta;Stay;stay
David Guetta;Stay;the
David Guetta;Stay;same
David Guetta;Stay;uh
David Guetta;Stay;babe
David Guetta;Stay;i
David Guetta;Stay;save
David Guetta;Stay;a
David Guetta;Stay;place
David Guetta;Stay;for
David Guetta;Stay;you
David Guetta;Stay;i
David Guetta;Stay;got
David Guetta;Stay;a
David Guetta;Stay;place
David Guetta;Stay;for
David Guetta;Stay;two
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;i
David Guetta;Stay;need
David Guetta;Stay;you
David Guetta;Stay;to
David Guetta;Stay;stay
David Guetta;Stay;babe
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;stay
David Guetta;Stay;babe
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;stay
David Guetta;Stay;babe
David Guetta;Stay;i
David Guetta;Stay;save
David Guetta;Stay;a
David Guetta;Stay;place
David Guetta;Stay;for
David Guetta;Stay;you
David Guetta;Stay;uh-huh
David Guetta;Stay;i
David Guetta;Stay;got
David Guetta;Stay;a
David Guetta;Stay;place
David Guetta;Stay;for
David Guetta;Stay;two
David Guetta;Stay;uh-huh
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;don't
David Guetta;Stay;go
David Guetta;Stay;away
David Guetta;Stay;i
David Guetta;Stay;need
David Guetta;Stay;you
David Guetta;Stay;to
David Guetta;Stay;stay
