artist_name;song_title;token
Kanye West;Souls Anchored;but
Kanye West;Souls Anchored;lift
Kanye West;Souls Anchored;our
Kanye West;Souls Anchored;hands
Kanye West;Souls Anchored;up
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;on
Kanye West;Souls Anchored;time
Kanye West;Souls Anchored;on
Kanye West;Souls Anchored;time
Kanye West;Souls Anchored;every
Kanye West;Souls Anchored;time
Kanye West;Souls Anchored;every
Kanye West;Souls Anchored;time
Kanye West;Souls Anchored;always
Kanye West;Souls Anchored;there
Kanye West;Souls Anchored;always
Kanye West;Souls Anchored;there
Kanye West;Souls Anchored;said
Kanye West;Souls Anchored;you'll
Kanye West;Souls Anchored;never
Kanye West;Souls Anchored;leave
Kanye West;Souls Anchored;us
Kanye West;Souls Anchored;nor
Kanye West;Souls Anchored;forsake
Kanye West;Souls Anchored;us
Kanye West;Souls Anchored;sake
Kanye West;Souls Anchored;us
Kanye West;Souls Anchored;so
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;stand
Kanye West;Souls Anchored;so
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;stand
Kanye West;Souls Anchored;on
Kanye West;Souls Anchored;your
Kanye West;Souls Anchored;word
Kanye West;Souls Anchored;on
Kanye West;Souls Anchored;your
Kanye West;Souls Anchored;word
Kanye West;Souls Anchored;brought
Kanye West;Souls Anchored;us
Kanye West;Souls Anchored;out
Kanye West;Souls Anchored;of
Kanye West;Souls Anchored;darkness
Kanye West;Souls Anchored;into
Kanye West;Souls Anchored;your
Kanye West;Souls Anchored;light
Kanye West;Souls Anchored;your
Kanye West;Souls Anchored;light
Kanye West;Souls Anchored;by
Kanye West;Souls Anchored;your
Kanye West;Souls Anchored;power
Kanye West;Souls Anchored;by
Kanye West;Souls Anchored;your
Kanye West;Souls Anchored;power
Kanye West;Souls Anchored;we're
Kanye West;Souls Anchored;set
Kanye West;Souls Anchored;free
Kanye West;Souls Anchored;we're
Kanye West;Souls Anchored;set
Kanye West;Souls Anchored;free
Kanye West;Souls Anchored;where
Kanye West;Souls Anchored;two
Kanye West;Souls Anchored;or
Kanye West;Souls Anchored;three
Kanye West;Souls Anchored;are
Kanye West;Souls Anchored;gathered
Kanye West;Souls Anchored;you're
Kanye West;Souls Anchored;there
Kanye West;Souls Anchored;you're
Kanye West;Souls Anchored;there
Kanye West;Souls Anchored;in
Kanye West;Souls Anchored;the
Kanye West;Souls Anchored;midst
Kanye West;Souls Anchored;in
Kanye West;Souls Anchored;the
Kanye West;Souls Anchored;midst
Kanye West;Souls Anchored;thank
Kanye West;Souls Anchored;you
Kanye West;Souls Anchored;lord
Kanye West;Souls Anchored;thank
Kanye West;Souls Anchored;you
Kanye West;Souls Anchored;lord
Kanye West;Souls Anchored;so
Kanye West;Souls Anchored;glad
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;know
Kanye West;Souls Anchored;our
Kanye West;Souls Anchored;soul
Kanye West;Souls Anchored;anchored
Kanye West;Souls Anchored;every
Kanye West;Souls Anchored;single
Kanye West;Souls Anchored;day
Kanye West;Souls Anchored;you're
Kanye West;Souls Anchored;worthy
Kanye West;Souls Anchored;to
Kanye West;Souls Anchored;you
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;give
Kanye West;Souls Anchored;the
Kanye West;Souls Anchored;glory
Kanye West;Souls Anchored;'cause
Kanye West;Souls Anchored;our
Kanye West;Souls Anchored;soul
Kanye West;Souls Anchored;anchored
Kanye West;Souls Anchored;when
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;think
Kanye West;Souls Anchored;back
Kanye West;Souls Anchored;where
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;started
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;were
Kanye West;Souls Anchored;brokenhearted
Kanye West;Souls Anchored;now
Kanye West;Souls Anchored;our
Kanye West;Souls Anchored;soul
Kanye West;Souls Anchored;anchored
Kanye West;Souls Anchored;every
Kanye West;Souls Anchored;single
Kanye West;Souls Anchored;day
Kanye West;Souls Anchored;you're
Kanye West;Souls Anchored;worthy
Kanye West;Souls Anchored;to
Kanye West;Souls Anchored;you
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;give
Kanye West;Souls Anchored;the
Kanye West;Souls Anchored;glory
Kanye West;Souls Anchored;'cause
Kanye West;Souls Anchored;our
Kanye West;Souls Anchored;soul
Kanye West;Souls Anchored;anchored
Kanye West;Souls Anchored;when
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;think
Kanye West;Souls Anchored;back
Kanye West;Souls Anchored;where
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;started
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;can't
Kanye West;Souls Anchored;help
Kanye West;Souls Anchored;but
Kanye West;Souls Anchored;lift
Kanye West;Souls Anchored;our
Kanye West;Souls Anchored;hands
Kanye West;Souls Anchored;up
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;can't
Kanye West;Souls Anchored;help
Kanye West;Souls Anchored;but
Kanye West;Souls Anchored;lift
Kanye West;Souls Anchored;our
Kanye West;Souls Anchored;hands
Kanye West;Souls Anchored;up
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;hey
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;ooh
Kanye West;Souls Anchored;we
Kanye West;Souls Anchored;can't
Kanye West;Souls Anchored;help
Kanye West;Souls Anchored;but
Kanye West;Souls Anchored;lift
Kanye West;Souls Anchored;our
Kanye West;Souls Anchored;hands
Kanye West;Souls Anchored;up
